"play","pause","prop"
"1 Henry 4","first",0.0516194331983806
"1 Henry 6","first",0.0651340996168582
"2 Henry 4","first",0.0451127819548872
"2 Henry 6","first",0.0542285345384119
"3 Henry 6","first",0.0678605089538172
"All's Well","first",0.0102389078498294
"Antony and Cleopatra","first",0.01875
"As You Like It","first",0.030664395229983
"Comedy of Errors","first",0.0448143405889885
"Coriolanus","first",0.0180399804973184
"Cymbeline","first",0.0223034734917733
"Edward 3","first",0.00664451827242525
"Hamlet","first",0.0286284953395473
"Henry 5","first",0.0255474452554745
"Henry 8","first",0.0235756385068762
"Julius Caesar","first",0.0483364720652856
"King John","first",0.0510665804783452
"King Lear","first",0.0268276324614353
"Love's Labour's Lost","first",0.0508474576271186
"Macbeth","first",0.0275439938791125
"Measure for Measure","first",0.0376492194674013
"Merchant of Venice","first",0.0389221556886228
"Merry Wives","first",0.0583333333333333
"Midsummer Night's Drm","first",0.0351758793969849
"Much Ado","first",0.046448087431694
"Othello","first",0.0394014962593516
"Pericles","first",0.011441647597254
"Richard 2","first",0.0334796926454446
"Richard 3","first",0.0567434210526316
"Romeo and Juliet","first",0.0266828380836871
"Sir Thomas More Iid","first",0
"Spanish Tragedy Add.","first",0.109289617486339
"Taming of the Shrew","first",0.0552147239263804
"Tempest","first",0.0270655270655271
"Timon","first",0.0267782426778243
"Titus Andronicus","first",0.0502092050209205
"Troilus and Cressida","first",0.0415531335149864
"Twelfth Night","first",0.0145719489981785
"Two Gentlemen Verona","first",0.0850877192982456
"Two NobleKinsmen","first",0.013986013986014
"Winter's Tale","first",0.0199004975124378
"1 Henry 4","second",0.0910931174089069
"1 Henry 6","second",0.0919540229885057
"2 Henry 4","second",0.11203007518797
"2 Henry 6","second",0.1078114912847
"3 Henry 6","second",0.100848256361923
"All's Well","second",0.0409556313993174
"Antony and Cleopatra","second",0.0504807692307692
"As You Like It","second",0.0630323679727428
"Comedy of Errors","second",0.124199743918054
"Coriolanus","second",0.0541199414919551
"Cymbeline","second",0.0577696526508227
"Edward 3","second",0.0764119601328904
"Hamlet","second",0.0772303595206391
"Henry 5","second",0.0757299270072993
"Henry 8","second",0.0333988212180747
"Julius Caesar","second",0.0715630885122411
"King John","second",0.0943762120232708
"King Lear","second",0.0690811535881958
"Love's Labour's Lost","second",0.0835351089588378
"Macbeth","second",0.0627390971690895
"Measure for Measure","second",0.0808080808080808
"Merchant of Venice","second",0.0658682634730539
"Merry Wives","second",0.0833333333333333
"Midsummer Night's Drm","second",0.0884422110552764
"Much Ado","second",0.087431693989071
"Othello","second",0.0887780548628429
"Pericles","second",0.05720823798627
"Richard 2","second",0.0998902305159166
"Richard 3","second",0.125411184210526
"Romeo and Juliet","second",0.0952092177077016
"Sir Thomas More Iid","second",0
"Spanish Tragedy Add.","second",0.153005464480874
"Taming of the Shrew","second",0.102541630148992
"Tempest","second",0.0591168091168091
"Timon","second",0.0535564853556485
"Titus Andronicus","second",0.117154811715481
"Troilus and Cressida","second",0.0831062670299728
"Twelfth Night","second",0.0673952641165756
"Two Gentlemen Verona","second",0.121052631578947
"Two NobleKinsmen","second",0.0475524475524476
"Winter's Tale","second",0.062415196743555
"1 Henry 4","third",0.0425101214574899
"1 Henry 6","third",0.0306513409961686
"2 Henry 4","third",0.0616541353383459
"2 Henry 6","third",0.0581020012911556
"3 Henry 6","third",0.0669180018850141
"All's Well","third",0.0261660978384528
"Antony and Cleopatra","third",0.0326923076923077
"As You Like It","third",0.0596252129471891
"Comedy of Errors","third",0.0435339308578745
"Coriolanus","third",0.0331545587518284
"Cymbeline","third",0.0372943327239488
"Edward 3","third",0.0465116279069767
"Hamlet","third",0.0419440745672437
"Henry 5","third",0.0456204379562044
"Henry 8","third",0.0245579567779961
"Julius Caesar","third",0.064030131826742
"King John","third",0.0368455074337427
"King Lear","third",0.0368879946344735
"Love's Labour's Lost","third",0.036319612590799
"Macbeth","third",0.035195103289977
"Measure for Measure","third",0.0312213039485767
"Merchant of Venice","third",0.0419161676646707
"Merry Wives","third",0.0791666666666667
"Midsummer Night's Drm","third",0.04321608040201
"Much Ado","third",0.0683060109289618
"Othello","third",0.0408977556109726
"Pericles","third",0.0366132723112128
"Richard 2","third",0.0493962678375412
"Richard 3","third",0.0493421052631579
"Romeo and Juliet","third",0.039417828987265
"Sir Thomas More Iid","third",0
"Spanish Tragedy Add.","third",0.0655737704918033
"Taming of the Shrew","third",0.0446976336546889
"Tempest","third",0.0349002849002849
"Timon","third",0.0368200836820084
"Titus Andronicus","third",0.0535564853556485
"Troilus and Cressida","third",0.0449591280653951
"Twelfth Night","third",0.0473588342440801
"Two Gentlemen Verona","third",0.0666666666666667
"Two NobleKinsmen","third",0.0167832167832168
"Winter's Tale","third",0.0352781546811398
"1 Henry 4","fourth",0.251012145748988
"1 Henry 6","fourth",0.298850574712644
"2 Henry 4","fourth",0.255639097744361
"2 Henry 6","fourth",0.312459651387992
"3 Henry 6","fourth",0.328463713477851
"All's Well","fourth",0.233219567690557
"Antony and Cleopatra","fourth",0.173076923076923
"As You Like It","fourth",0.281090289608177
"Comedy of Errors","fourth",0.293213828425096
"Coriolanus","fourth",0.185763042418333
"Cymbeline","fourth",0.157952468007313
"Edward 3","fourth",0.395348837209302
"Hamlet","fourth",0.264314247669774
"Henry 5","fourth",0.259124087591241
"Henry 8","fourth",0.153241650294695
"Julius Caesar","fourth",0.236032642812304
"King John","fourth",0.285067873303167
"King Lear","fourth",0.237424547283702
"Love's Labour's Lost","fourth",0.330508474576271
"Macbeth","fourth",0.206579954093344
"Measure for Measure","fourth",0.223140495867769
"Merchant of Venice","fourth",0.271457085828343
"Merry Wives","fourth",0.254166666666667
"Midsummer Night's Drm","fourth",0.301507537688442
"Much Ado","fourth",0.245901639344262
"Othello","fourth",0.270324189526185
"Pericles","fourth",0.183066361556064
"Richard 2","fourth",0.311745334796926
"Richard 3","fourth",0.279605263157895
"Romeo and Juliet","fourth",0.343844754396604
"Sir Thomas More Iid","fourth",0.28125
"Spanish Tragedy Add.","fourth",0.180327868852459
"Taming of the Shrew","fourth",0.35056967572305
"Tempest","fourth",0.189458689458689
"Timon","fourth",0.231799163179916
"Titus Andronicus","fourth",0.352301255230126
"Troilus and Cressida","fourth",0.299046321525886
"Twelfth Night","fourth",0.247723132969035
"Two Gentlemen Verona","fourth",0.270175438596491
"Two NobleKinsmen","fourth",0.155244755244755
"Winter's Tale","fourth",0.171867933061963
"1 Henry 4","fifth",0.189271255060729
"1 Henry 6","fifth",0.199233716475096
"2 Henry 4","fifth",0.162406015037594
"2 Henry 6","fifth",0.16010329244674
"3 Henry 6","fifth",0.15928369462771
"All's Well","fifth",0.15358361774744
"Antony and Cleopatra","fifth",0.140865384615385
"As You Like It","fifth",0.189097103918228
"Comedy of Errors","fifth",0.179257362355954
"Coriolanus","fifth",0.109215017064846
"Cymbeline","fifth",0.121389396709324
"Edward 3","fifth",0.205980066445183
"Hamlet","fifth",0.149800266311585
"Henry 5","fifth",0.180656934306569
"Henry 8","fifth",0.132612966601179
"Julius Caesar","fifth",0.195229127432517
"King John","fifth",0.203619909502262
"King Lear","fifth",0.0959087860496311
"Love's Labour's Lost","fifth",0.186440677966102
"Macbeth","fifth",0.121652639632747
"Measure for Measure","fifth",0.143250688705234
"Merchant of Venice","fifth",0.205588822355289
"Merry Wives","fifth",0.141666666666667
"Midsummer Night's Drm","fifth",0.230150753768844
"Much Ado","fifth",0.188524590163934
"Othello","fifth",0.118703241895262
"Pericles","fifth",0.116704805491991
"Richard 2","fifth",0.177277716794731
"Richard 3","fifth",0.176809210526316
"Romeo and Juliet","fifth",0.195876288659794
"Sir Thomas More Iid","fifth",0.1875
"Spanish Tragedy Add.","fifth",0.174863387978142
"Taming of the Shrew","fifth",0.193689745836985
"Tempest","fifth",0.133190883190883
"Timon","fifth",0.140585774058577
"Titus Andronicus","fifth",0.171548117154812
"Troilus and Cressida","fifth",0.145095367847411
"Twelfth Night","fifth",0.182149362477231
"Two Gentlemen Verona","fifth",0.150877192982456
"Two NobleKinsmen","fifth",0.152447552447552
"Winter's Tale","fifth",0.118046132971506
"1 Henry 4","sixth",0.206477732793522
"1 Henry 6","sixth",0.206896551724138
"2 Henry 4","sixth",0.194736842105263
"2 Henry 6","sixth",0.204648160103292
"3 Henry 6","sixth",0.163996229971725
"All's Well","sixth",0.31740614334471
"Antony and Cleopatra","sixth",0.266346153846154
"As You Like It","sixth",0.253833049403748
"Comedy of Errors","sixth",0.199743918053777
"Coriolanus","sixth",0.260848366650414
"Cymbeline","sixth",0.23436928702011
"Edward 3","sixth",0.192691029900332
"Hamlet","sixth",0.269640479360852
"Henry 5","sixth",0.220802919708029
"Henry 8","sixth",0.256385068762279
"Julius Caesar","sixth",0.229755178907721
"King John","sixth",0.18552036199095
"King Lear","sixth",0.300469483568075
"Love's Labour's Lost","sixth",0.200968523002421
"Macbeth","sixth",0.308339709257842
"Measure for Measure","sixth",0.2910927456382
"Merchant of Venice","sixth",0.211576846307385
"Merry Wives","sixth",0.2125
"Midsummer Night's Drm","sixth",0.17286432160804
"Much Ado","sixth",0.213114754098361
"Othello","sixth",0.240897755610973
"Pericles","sixth",0.302059496567506
"Richard 2","sixth",0.205817782656422
"Richard 3","sixth",0.182976973684211
"Romeo and Juliet","sixth",0.193450576106731
"Sir Thomas More Iid","sixth",0.25
"Spanish Tragedy Add.","sixth",0.163934426229508
"Taming of the Shrew","sixth",0.171779141104294
"Tempest","sixth",0.237179487179487
"Timon","sixth",0.255230125523013
"Titus Andronicus","sixth",0.192468619246862
"Troilus and Cressida","sixth",0.228882833787466
"Twelfth Night","sixth",0.251366120218579
"Two Gentlemen Verona","sixth",0.194736842105263
"Two NobleKinsmen","sixth",0.26013986013986
"Winter's Tale","sixth",0.222523744911805
"1 Henry 4","seventh",0.123481781376518
"1 Henry 6","seventh",0.0804597701149425
"2 Henry 4","seventh",0.0954887218045113
"2 Henry 6","seventh",0.0735958683021304
"3 Henry 6","seventh",0.0702167766258247
"All's Well","seventh",0.139931740614334
"Antony and Cleopatra","seventh",0.14375
"As You Like It","seventh",0.0817717206132879
"Comedy of Errors","seventh",0.0806658130601793
"Coriolanus","seventh",0.153096050706972
"Cymbeline","seventh",0.146617915904936
"Edward 3","seventh",0.0631229235880399
"Hamlet","seventh",0.113848202396804
"Henry 5","seventh",0.133211678832117
"Henry 8","seventh",0.196463654223969
"Julius Caesar","seventh",0.103578154425612
"King John","seventh",0.085972850678733
"King Lear","seventh",0.122736418511066
"Love's Labour's Lost","seventh",0.0653753026634383
"Macbeth","seventh",0.108645753634277
"Measure for Measure","seventh",0.110192837465565
"Merchant of Venice","seventh",0.131736526946108
"Merry Wives","seventh",0.075
"Midsummer Night's Drm","seventh",0.0834170854271357
"Much Ado","seventh",0.0983606557377049
"Othello","seventh",0.103740648379052
"Pericles","seventh",0.151029748283753
"Richard 2","seventh",0.0713501646542261
"Richard 3","seventh",0.0764802631578947
"Romeo and Juliet","seventh",0.0582171012734991
"Sir Thomas More Iid","seventh",0.28125
"Spanish Tragedy Add.","seventh",0.0765027322404372
"Taming of the Shrew","seventh",0.0482033304119194
"Tempest","seventh",0.13960113960114
"Timon","seventh",0.145606694560669
"Titus Andronicus","seventh",0.0476987447698745
"Troilus and Cressida","seventh",0.0912806539509537
"Twelfth Night","seventh",0.109289617486339
"Two Gentlemen Verona","seventh",0.0666666666666667
"Two NobleKinsmen","seventh",0.18041958041958
"Winter's Tale","seventh",0.138851198552691
"1 Henry 4","eighth",0.0313765182186235
"1 Henry 6","eighth",0.0153256704980843
"2 Henry 4","eighth",0.0593984962406015
"2 Henry 6","eighth",0.0225952227243383
"3 Henry 6","eighth",0.0386427898209237
"All's Well","eighth",0.0614334470989761
"Antony and Cleopatra","eighth",0.122596153846154
"As You Like It","eighth",0.0357751277683135
"Comedy of Errors","eighth",0.0320102432778489
"Coriolanus","eighth",0.128717698683569
"Cymbeline","eighth",0.153930530164534
"Edward 3","eighth",0.00664451827242525
"Hamlet","eighth",0.0439414114513981
"Henry 5","eighth",0.0465328467153285
"Henry 8","eighth",0.119842829076621
"Julius Caesar","eighth",0.0382925298179535
"King John","eighth",0.0420168067226891
"King Lear","eighth",0.0838363514419852
"Love's Labour's Lost","eighth",0.036319612590799
"Macbeth","eighth",0.103289977046672
"Measure for Measure","eighth",0.0697887970615243
"Merchant of Venice","eighth",0.0239520958083832
"Merry Wives","eighth",0.0625
"Midsummer Night's Drm","eighth",0.0331658291457286
"Much Ado","eighth",0.0327868852459016
"Othello","eighth",0.0763092269326683
"Pericles","eighth",0.0938215102974828
"Richard 2","eighth",0.0433589462129528
"Richard 3","eighth",0.0444078947368421
"Romeo and Juliet","eighth",0.0357792601576713
"Sir Thomas More Iid","eighth",0
"Spanish Tragedy Add.","eighth",0.0491803278688525
"Taming of the Shrew","eighth",0.0271691498685364
"Tempest","eighth",0.118945868945869
"Timon","eighth",0.0861924686192469
"Titus Andronicus","eighth",0.0142259414225941
"Troilus and Cressida","eighth",0.053133514986376
"Twelfth Night","eighth",0.0710382513661202
"Two Gentlemen Verona","eighth",0.0342105263157895
"Two NobleKinsmen","eighth",0.128671328671329
"Winter's Tale","eighth",0.170963364993216
"1 Henry 4","ninth",0.0131578947368421
"1 Henry 6","ninth",0.0114942528735632
"2 Henry 4","ninth",0.0135338345864662
"2 Henry 6","ninth",0.00645577792123951
"3 Henry 6","ninth",0.00377002827521206
"All's Well","ninth",0.0170648464163823
"Antony and Cleopatra","ninth",0.0514423076923077
"As You Like It","ninth",0.00511073253833049
"Comedy of Errors","ninth",0.00256081946222791
"Coriolanus","ninth",0.0570453437347635
"Cymbeline","ninth",0.0683729433272395
"Edward 3","ninth",0.00664451827242525
"Hamlet","ninth",0.0106524633821571
"Henry 5","ninth",0.0127737226277372
"Henry 8","ninth",0.0599214145383104
"Julius Caesar","ninth",0.0131826741996234
"King John","ninth",0.015513897866839
"King Lear","ninth",0.0268276324614353
"Love's Labour's Lost","ninth",0.00968523002421308
"Macbeth","ninth",0.0260137719969396
"Measure for Measure","ninth",0.0128558310376492
"Merchant of Venice","ninth",0.00898203592814371
"Merry Wives","ninth",0.0333333333333333
"Midsummer Night's Drm","ninth",0.0120603015075377
"Much Ado","ninth",0.0191256830601093
"Othello","ninth",0.0209476309226933
"Pericles","ninth",0.0480549199084668
"Richard 2","ninth",0.00768386388583974
"Richard 3","ninth",0.00822368421052632
"Romeo and Juliet","ninth",0.0115221346270467
"Sir Thomas More Iid","ninth",0
"Spanish Tragedy Add.","ninth",0.0273224043715847
"Taming of the Shrew","ninth",0.00613496932515337
"Tempest","ninth",0.0605413105413105
"Timon","ninth",0.0234309623430962
"Titus Andronicus","ninth",0.000836820083682008
"Troilus and Cressida","ninth",0.0129427792915531
"Twelfth Night","ninth",0.00910746812386157
"Two Gentlemen Verona","ninth",0.0105263157894737
"Two NobleKinsmen","ninth",0.0447552447552448
"Winter's Tale","ninth",0.060153776571687
