difference,date,status
,1590,open
2.47669999999994,1592.4767,closed
0.517800000000079,1592.9945,open
0.0959000000000287,1593.0904,closed
1.11500000000001,1594.2054,open
2.35076438355986,1596.55616438356,closed
0.528767123279977,1597.08493150684,open
0.487671232880075,1597.57260273972,closed
0.20547945205999,1597.77808219178,open
5.38630136986012,1603.16438356164,closed
0.167123287669938,1603.33150684931,open
0.0383561643800476,1603.36986301369,closed
0.91780821917996,1604.28767123287,open
0.0821917808200396,1604.36986301369,closed
0.380821917809953,1604.7506849315,open
0.375342465760014,1605.12602739726,closed
0.123287671229946,1605.24931506849,open
0.501369863010041,1605.7506849315,closed
0.252054794520063,1606.00273972602,open
0.199999999999818,1606.20273972602,closed
0.0849315068501255,1606.28767123287,open
0.167123287669938,1606.45479452054,closed
0.794520547950015,1607.24931506849,open
0.0383561643800476,1607.28767123287,closed
0.961643835619952,1608.24931506849,open
0.287671232870025,1608.53698630136,closed
1.55068493150998,1610.08767123287,open
0.0739726027400138,1610.16164383561,closed
0.087671232879984,1610.24931506849,open
0.120547945200087,1610.36986301369,closed
0.0465753424698505,1610.41643835616,open
0.0794520547901811,1610.49589041095,closed
0.42191780821986,1610.91780821917,open
0.169863013700024,1611.08767123287,closed
0.11506849314992,1611.20273972602,open
0.96164383562018,1612.16438356164,closed
0.123287671229946,1612.28767123287,open
0.586301369859939,1612.87397260273,closed
0.0821917808300441,1612.95616438356,open
0.169863013700024,1613.12602739726,closed
0.0767123287598679,1613.20273972602,open
0.295890410960055,1613.49863013698,closed
0.498630136989959,1613.99726027397,open