first,second,third,fourth,fifth,sixth,seventh,eigth,ninth
4,13,4,51,23,23,8,4,1
6,6,1,27,5,12,4,1,0
3,11,7,23,20,12,9,3,1
1,7,2,17,5,8,2,2,0
7,17,8,30,21,18,11,2,2
1,6,8,16,9,10,15,5,0
4,3,7,10,6,12,4,3,0
8,12,7,29,9,17,5,2,0
15,30,12,80,33,42,10,3,1
14,21,7,68,38,59,15,4,1
1,1,1,12,1,4,0,0,0
3,4,6,24,17,26,7,0,0
2,6,1,3,7,5,3,3,1
0,0,0,0,0,0,0,0,0
1,4,4,8,7,4,5,1,0
0,0,0,2,0,1,1,0,0
0,0,0,0,0,0,0,0,0
1,1,1,4,3,6,1,0,2
1,3,1,10,5,5,1,1,0
0,3,0,11,1,4,0,1,0
3,0,4,4,3,2,0,0,0
7,15,6,33,19,23,7,0,0
2,4,3,22,16,24,6,0,0