first,second,third,fourth,fifth,sixth,seventh,eighth,ninth
1,4,1,11,1,3,1,0,0
0,8,3,25,2,5,1,0,0
4,9,0,10,3,3,0,1,0
7,4,3,14,4,8,1,0,0
0,0,0,2,0,2,0,0,0
7,10,0,11,1,4,2,1,0
1,2,2,18,3,3,0,0,0
0,0,1,4,2,0,0,0,0
1,2,0,11,1,3,0,0,0
1,3,1,9,5,1,1,0,0
0,1,0,0,0,0,0,0,0
2,5,0,19,4,0,3,0,0
3,10,2,27,13,10,8,4,0
2,4,1,8,2,4,0,0,0
2,6,1,11,5,4,3,0,0
0,0,0,0,0,0,0,0,0
1,5,0,9,5,2,1,0,0
0,3,0,10,5,1,1,1,0
1,3,2,4,1,1,0,1,0
1,0,4,1,1,0,1,0,0
7,6,3,14,12,6,5,0,2
2,1,2,6,3,1,0,2,1
4,14,1,15,8,2,2,5,1
8,14,4,26,12,7,2,1,0
4,5,6,28,11,15,6,2,0
0,1,0,9,4,0,1,0,0
2,6,8,21,13,4,4,1,0
1,3,0,5,0,1,2,1,0
0,2,1,3,2,0,0,0,0
2,12,15,29,20,8,5,1,1
1,1,0,1,2,1,0,0,0